GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               2896                     0               2755350         2500375         

2               715                      10000           752500          719245          

3               1350                     11000           1754570         1268993         

4               1794                     15000           1129115         1080016         

5               4090                     23000           6420116         3527885         

6               3687                     33000           2188090         2094754         

7               1496                     43000           1074490         884694          

8               3018                     47000           2623932         2190825         

9               1080                     56000           307064          802104          

10              749                      60000           525391          329861          

11              1702                     63000           1240661         1121116         

12              818                      69000           235102          523139          

13              462                      71000           168959          365762          

14              529                      73000           653103          345863          

15              2127                     75000           2405104         2281365         

16              3359                     79000           1248916         2439954         

17              351                      89000           322873          142060          

18              1542                     91000           701924          1133195         

19              46                       99000           5962            17085           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               2884                     0               5259969         2500375         

2               706                      10000           1515988         719245          

3               1347                     11000           3664268         1268993         

4               1777                     15000           2045471         1080016         

5               4125                     23000           12932968        3527885         

6               5194                     33000           4403631         2094754         

7               1547                     43000           2084987         884694          

8               3778                     47000           5425231         2190825         

9               1104                     56000           608770          802104          

10              776                      60000           948962          329861          

11              1722                     63000           2524622         1121116         

12              761                      69000           415209          523139          

13              451                      71000           448685          365762          

14              525                      73000           1176707         345863          

15              1992                     75000           4935097         2281365         

16              3293                     79000           2422165         2439954         

17              342                      89000           682002          142060          

18              1486                     91000           1347936         1133195         

19              33                       99000           183776          17085           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               2921                     0               5259969         2500375         

2               711                      10000           1515988         719245          

3               1339                     11000           3664268         1268993         

4               1812                     15000           2045471         1080016         

5               4079                     23000           12932968        3527885         

6               3810                     33000           4403631         2094754         

7               1543                     43000           2084987         884694          

8               3039                     47000           5425231         2190825         

9               1109                     56000           608770          802104          

10              751                      60000           948962          329861          

11              1665                     63000           2524622         1121116         

12              872                      69000           415209          523139          

13              513                      71000           448685          365762          

14              562                      73000           1176707         345863          

15              2182                     75000           4935097         2281365         

16              3312                     79000           2422165         2439954         

17              342                      89000           682002          142060          

18              1555                     91000           1347936         1133195         

19              52                       99000           183776          17085           

