GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               453                      0               137231          160039          

2               235                      5000            455165          26527           

3               1986                     7000            1177364         3853292         

4               261                      13000           375538          86127           

5               1184                     14000           843325          1016512         

6               714                      17000           1326349         329255          

7               610                      20000           364347          725682          

8               311                      21000           268786          138682          

9               368                      23000           457276          256466          

10              172                      24000           55503           75791           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               465                      0               261545          160039          

2               233                      5000            869608          26527           

3               2007                     7000            2408186         3853292         

4               252                      13000           735811          86127           

5               1165                     14000           1700988         1016512         

6               725                      17000           2647739         329255          

7               603                      20000           651280          725682          

8               323                      21000           551508          138682          

9               352                      23000           919900          256466          

10              183                      24000           175203          75791           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               475                      0               261545          160039          

2               236                      5000            869608          26527           

3               2073                     7000            2408186         3853292         

4               242                      13000           735811          86127           

5               1165                     14000           1700988         1016512         

6               711                      17000           2647739         329255          

7               595                      20000           651280          725682          

8               321                      21000           551508          138682          

9               358                      23000           919900          256466          

10              184                      24000           175203          75791           

