GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               608                      0               361654          221028          

2               205                      6000            2010336         2287            

3               1010                     7000            1803300         4480418         

4               664                      9000            954021          1424798         

5               715                      10000           1267627         614482          

6               607                      12000           1113473         586485          

7               378                      13000           705472          203428          

8               441                      14000           872544          251345          

9               451                      16000           522431          332321          

10              906                      17000           1410204         469744          

11              629                      21000           1169004         267247          

12              630                      22000           529589          370319          

13              230                      24000           777967          165812          

14              459                      25000           962195          159840          

15              305                      27000           474585          249594          

16              805                      28000           2111245         464112          

17              1392                     30000           2312062         752810          

18              611                      34000           1162880         401267          

19              1338                     35000           1806437         809830          

20              219                      39000           276228          81854           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               0                        0               0               0               

2               609                      0               158167          221028          

3               208                      6000            994777          2287            

4               1004                     7000            914079          4480418         

5               649                      9000            462817          1424798         

6               727                      10000           635287          614482          

7               604                      12000           571897          586485          

8               374                      13000           350745          203428          

9               420                      14000           398449          251345          

10              453                      16000           271628          332321          

11              838                      17000           736863          469744          

12              568                      21000           540149          267247          

13              612                      22000           303737          370319          

14              242                      24000           397275          165812          

15              431                      25000           469199          159840          

16              302                      27000           209647          249594          

17              797                      28000           1103823         464112          

18              1369                     30000           1143276         752810          

19              606                      34000           550252          401267          

20              1340                     35000           927644          809830          

21              215                      39000           161916          81854           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               0                        0               0               0               

2               607                      0               158167          221028          

3               202                      6000            994777          2287            

4               1038                     7000            914079          4480418         

5               639                      9000            462817          1424798         

6               733                      10000           635287          614482          

7               593                      12000           571897          586485          

8               361                      13000           350745          203428          

9               437                      14000           398449          251345          

10              450                      16000           271628          332321          

11              843                      17000           736863          469744          

12              626                      21000           540149          267247          

13              648                      22000           303737          370319          

14              267                      24000           397275          165812          

15              435                      25000           469199          159840          

16              317                      27000           209647          249594          

17              774                      28000           1103823         464112          

18              1372                     30000           1143276         752810          

19              611                      34000           550252          401267          

20              1383                     35000           927644          809830          

21              235                      39000           161916          81854           

GOP#            TranscodingTime          Pts             InputSize       outputSize      

1               630                      0               158167          221028          

2               204                      6000            994777          2287            

3               985                      7000            914079          4480418         

4               667                      9000            462817          1424798         

5               735                      10000           635287          614482          

6               585                      12000           571897          586485          

7               371                      13000           350745          203428          

8               429                      14000           398449          251345          

9               464                      16000           271628          332321          

10              844                      17000           736863          469744          

11              564                      21000           540149          267247          

12              634                      22000           303737          370319          

13              248                      24000           397275          165812          

14              421                      25000           469199          159840          

15              314                      27000           209647          249594          

16              769                      28000           1103823         464112          

17              1365                     30000           1143276         752810          

18              606                      34000           550252          401267          

19              1474                     35000           927644          809830          

20              228                      39000           161916          81854           

